id,name,email,comments,eggs_Omelet_Musroom & Swiss,eggs_Omelet_Denver,eggs_Omelet_Chorizo & PepperJack,eggs_Scrambled,eggs_Special Order,side_Toast,side_Hash Browns,side_Pancakes,side_French Toast,opt_Yogurt_Vanilla,opt_Yogurt_Peach,opt_Yogurt_Blueberry,opt_Yogurt_Cherry,opt_Cottage Cheese,opt_Fruit_Grapes,opt_Fruit_Apple,opt_Fruit_Banana,opt_Granola
1,Phillip Munyan,pMunyan@growth.com,This is the best day of my life!,0,0,0,1,,1,0,0,0,1,1,0,1,0,1,0,1,1
2,Johnny Cairo,johnnysailedfar@nile.com,I just love yogurt! Thanks!,0,0,1,0,,0,1,0,0,1,1,1,1,0,1,1,0,1
3,Race Charley,CharleyRaces@noon.com,NULL,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1
4,Buddy the Elf,Buddy@northpole.com,"I want my eggs prepared with lots of gummy bears and syrup on them. Also, cover the whole thing in chocolate sauce!",0,0,0,0,Lots and lots of syrup!,0,0,1,0,1,1,1,1,0,1,0,1,1
5,Name,Email,I like turtles,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1
6,Name,Email,I like turtles,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1
7,Gery Johnson,johnson@yahoo.com,I like Eggs!,0,0,0,0,"If I could have one wish, it would be a tasty fish!",0,1,0,0,0,0,0,0,1,0,1,0,0
8,Phillip Toller,Tollerwillrise@bing.com,Thanks a bunch!,0,0,0,0,uncooked!,0,0,0,0,1,0,1,0,0,0,0,0,0
9,test,jeremy@jeremyandchristine.com,i'm allergic to everything,0,0,0,0,over sideways around and through,0,0,0,0,1,1,1,0,0,1,1,0,1
10,Dean Micheals,michealsDean@meglomart.com,This is the best situation ever!,0,0,0,0,Jimmy Bean!,0,0,0,0,1,1,0,1,0,1,1,1,0
